RTT(s),img,parameter,leftChanges,rightChanges,chosen,hashval,screenWidth,screenHeight,windowWidth,windowHeight,colorDepth,userid,count,useragent
3,/img/pexels-photo-1616105.jpeg,exposure,1.8,2.4,leftImage,8589416870633049088,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
1,/img/background-baguette-baked-bakery-42064.jpeg,exposure,0.0,-1.8,leftImage,-2728322595891426304,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,9,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
4,/img/pexels-photo-803226.jpeg,shadows,-80.0,-100.0,unsure,3437085732389805056,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
5,/img/pexels-photo-3225697.jpeg,highlights,-50.0,60.0,unsure,-697114079401788928,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,11,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
5,/img/pexels-photo-1420702.jpeg,highlights,-60.0,-80.0,unsure,269091120215438208,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
2,/img/pexels-photo-62693.jpeg,lcontrast,0.0,3.0,unsure,7064694722956839936,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,13,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
4,/img/pexels-photo-3564766.jpeg,lcontrast,7.0,0.0,rightImage,-1816507552608829184,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
4,/img/pexels-photo-775878.jpeg,shadows,20.0,50.0,rightImage,-1632452962059643648,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
2,/img/pexels-photo-2162439.jpeg,vibrance,20.0,25.0,unsure,29301988968189796,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
2,/img/imac-apple-mockup-app-38544.jpeg,temperature,6500.0,25000.0,leftImage,-2840616044078771712,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
9,/img/pexels-photo-2872940.jpeg,exposure,-1.8,0.0,rightImage,-8273887155781203968,1440,900,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
2,/img/pexels-photo-1680208.jpeg,brightness,-0.6,0.0,rightImage,-8448505992111427584,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-216490.jpeg,contrast,0.0,0.4,leftImage,2011519688552684288,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5,/img/pexels-photo-2342547.jpeg,highlights,-60.0,-50.0,unsure,-1112624299856933248,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5,/img/pexels-photo-104346.jpeg,shadows,50.0,100.0,leftImage,-183896260044199744,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-952133.jpeg,tint,1.15,1.2,leftImage,9154285480360914944,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
13,/img/pexels-photo-2728267.jpeg,saturation,1.0,0.0,leftImage,5289159775366908928,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
3,/img/pexels-photo-3186558.jpeg,brightness,0.6,0.2,rightImage,-6173115208065666048,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-765167.jpeg,temperature,6000.0,6500.0,unsure,4067973667851643392,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-942238.jpeg,brightness,0.0,0.8,leftImage,7961951109085934592,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/hyena-africa-botswana-animal.jpg,shadows,0.0,40.0,unsure,-929610183835500032,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-2422254.jpeg,highlights,80.0,-20.0,unsure,-503429939390275456,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
2,/img/pexels-photo-2119106.jpeg,contrast,-0.2,-1.0,leftImage,2623836471257177600,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-2318247.jpeg,tint,1.0,1.1,leftImage,-8735069443371708416,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
9,/img/pexels-photo-1317548.jpeg,shadows,50.0,60.0,unsure,7799538354491627520,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
3,/img/pexels-photo-2048225.jpeg,exposure,0.0,-1.8,leftImage,-4109542586695424512,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-210298.jpeg,brightness,0.4,0.8,leftImage,-3731641459679052288,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
7,/img/pexels-photo-1769394.jpeg,saturation,0.0,1.0,leftImage,2818395621627753984,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-2109762.jpeg,lcontrast,25.0,0.0,rightImage,2154876249643849472,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-1651925.jpeg,exposure,1.8,2.4,unsure,-8927874100176908288,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-460025.jpeg,temperature,5000.0,6500.0,rightImage,2224260438364390912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
34,/img/pexels-photo-2036764.jpeg,contrast,0.0,1.0,leftImage,5669529291513570304,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
12,/img/pexels-photo-1685164.jpeg,vibrance,25.0,40.0,unsure,-1472188138794732544,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
11,/img/pexels-photo-1366055.jpeg,highlights,-100.0,-60.0,unsure,9059280908756099072,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
7,/img/pexels-photo-2044442.jpeg,vibrance,100.0,25.0,unsure,-4570578983512608768,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5,/img/pexels-photo-776176.jpeg,temperature,8000.0,25000.0,leftImage,-1587936720170126336,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-561028.jpeg,vibrance,80.0,60.0,unsure,387833697668746176,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,59,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-3457243.jpeg,highlights,-50.0,-100.0,leftImage,6063377548795356160,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-1698485.jpeg,tint,1.1,1.0,unsure,-2104080033701318912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,61,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
10,/img/pexels-photo-1119828.jpeg,saturation,-1.0,0.0,rightImage,5007062439883167744,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,62,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-2756870.jpeg,tint,1.0,1.2,leftImage,-2838420022419582464,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
10,/img/pexels-photo-746752.jpeg,lcontrast,0.0,9.0,leftImage,-6360558572633355264,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,64,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
3,/img/SW_Pamela%2BWebb.jpg,tint,0.8,1.0,error,114572404649064960,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,65,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
13,/img/pexels-photo-1612354.jpeg,shadows,60.0,50.0,leftImage,6322642243358758912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,66,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-1300152.jpeg,contrast,0.0,0.2,leftImage,1378050091100164096,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,67,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
99,/img/pexels-photo-305815.jpeg,lcontrast,8.0,35.0,unsure,7547977180398202880,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-3544555.jpeg,exposure,0.0,0.6,leftImage,5542328031542751232,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,69,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
2,/img/pexels-photo-2174729.jpeg,tint,1.2,1.0,rightImage,4000080179959485440,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,70,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-1019411.jpeg,brightness,0.0,-0.2,leftImage,8512096528593486848,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,71,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-981690.jpeg,lcontrast,0.4,0.0,unsure,8266645041052508160,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-877863.jpeg,vibrance,60.0,25.0,unsure,-3289289614598235648,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
6,/img/pexels-photo-2736216.jpeg,shadows,50.0,-60.0,unsure,-4698280673320305664,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-2309571.jpeg,saturation,-1.0,-0.8,leftImage,-7799188072947539968,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-1084630.jpeg,saturation,0.0,-0.8,leftImage,3580293455089877504,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,76,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
3,/img/pexels-photo-1146098.jpeg,exposure,0.0,-2.4,leftImage,4164202910316838912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-1707819.jpeg,lcontrast,20.0,0.4,rightImage,4200321856707879424,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
18,/img/pexels-photo-166422.jpeg,contrast,0.4,0.4,unsure,4537552067177369600,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,79,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
7,/img/pexels-photo-3215531.jpeg,shadows,-80.0,50.0,rightImage,2768272610404962304,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-2123692.jpeg,vibrance,25.0,60.0,unsure,5813879174112724992,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,81,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
4,/img/pexels-photo-1576151.jpeg,lcontrast,2.0,8.0,unsure,-6355121301400636416,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,82,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5,/img/pexels-photo-2310797.jpeg,contrast,0.0,0.4,leftImage,-818686181232342784,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
5,/img/pexels-photo-2518748.jpeg,tint,1.25,1.05,rightImage,8679880337179046912,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,2,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
5,/img/pexels-photo-1852614.jpeg,brightness,0.0,0.2,leftImage,-7634310151873254400,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,3,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
13,/img/pexels-photo-3582496.jpeg,highlights,-50.0,-60.0,rightImage,1943207240633509376,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,83,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5,/img/pexels-photo-1254452.jpeg,highlights,-100.0,-50.0,rightImage,-3584536349799988736,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,4,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
2,/img/pexels-photo-1139613.jpeg,lcontrast,15.0,0.0,rightImage,-2791001568164522496,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,5,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
7,/img/pexels-photo-1854160.jpeg,shadows,50.0,-20.0,rightImage,4692552606948612096,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,84,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
3,/img/barn-lightning-bolt-storm-99577.jpeg,brightness,0.4,1.0,leftImage,287970642889017344,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,6,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
3,/img/pexels-photo-3608063.jpeg,lcontrast,0.0,40.0,rightImage,8675208354443631616,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,7,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
2,/img/pexels-photo-2599751.jpeg,shadows,50.0,0.0,leftImage,7078313350328550400,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,8,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
10,/img/pexels-photo-939819.jpeg,vibrance,40.0,80.0,unsure,-8260684228819495936,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,85,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
8,/img/pexels-photo-334037.jpeg,highlights,-80.0,-50.0,leftImage,-2567426800063033344,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,9,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0
