,RTT(s),img,parameter,leftChanges,rightChanges,chosen,hashval,screenWidth,screenHeight,windowWidth,windowHeight,colorDepth,userid,count,useragent,leftNIMA,rightNIMA
16,1,/img/background-baguette-baked-bakery-42064.jpeg,exposure,0.0,-1.8,leftImage,-2728322595891426304,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,9,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.053175449371338,4.432523727416992
21,4,/img/pexels-photo-3564766.jpeg,lcontrast,7.0,0.0,rightImage,-1816507552608829184,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",5.587252616882324,5.259477615356445
22,4,/img/pexels-photo-775878.jpeg,shadows,20.0,50.0,rightImage,-1632452962059643648,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.753427028656006,4.997103691101074
24,2,/img/imac-apple-mockup-app-38544.jpeg,temperature,6500.0,25000.0,leftImage,-2840616044078771712,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",4.76998233795166,4.730222702026367
25,9,/img/pexels-photo-2872940.jpeg,exposure,-1.8,0.0,rightImage,-8273887155781203968,1440,900,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.185232639312744,5.734856128692627
26,2,/img/pexels-photo-1680208.jpeg,brightness,-0.6,0.0,rightImage,-8448505992111427584,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.98745584487915,5.092040538787842
27,6,/img/pexels-photo-216490.jpeg,contrast,0.0,0.4,leftImage,2011519688552684288,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.799680709838867,4.773172855377197
29,5,/img/pexels-photo-104346.jpeg,shadows,50.0,100.0,leftImage,-183896260044199744,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.022288799285889,5.249720573425293
30,4,/img/pexels-photo-952133.jpeg,tint,1.15,1.2,leftImage,9154285480360914944,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.786707878112793,4.8189544677734375
31,13,/img/pexels-photo-2728267.jpeg,saturation,1.0,0.0,leftImage,5289159775366908928,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.154407501220703,5.362294673919678
32,3,/img/pexels-photo-3186558.jpeg,brightness,0.6,0.2,rightImage,-6173115208065666048,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.657614707946777,4.800189971923828
34,6,/img/pexels-photo-942238.jpeg,brightness,0.0,0.8,leftImage,7961951109085934592,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.163157939910889,4.709079265594482
37,2,/img/pexels-photo-2119106.jpeg,contrast,-0.2,-1.0,leftImage,2623836471257177600,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.142238616943359,4.213747501373291
38,6,/img/pexels-photo-2318247.jpeg,tint,1.0,1.1,leftImage,-8735069443371708416,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.5582804679870605,5.407983303070068
40,3,/img/pexels-photo-2048225.jpeg,exposure,0.0,-1.8,leftImage,-4109542586695424512,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.607427597045898,4.370558738708496
41,6,/img/pexels-photo-210298.jpeg,brightness,0.4,0.8,leftImage,-3731641459679052288,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.561966419219971,5.374223232269287
42,7,/img/pexels-photo-1769394.jpeg,saturation,0.0,1.0,leftImage,2818395621627753984,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.473216533660889,5.415327548980713
43,4,/img/pexels-photo-2109762.jpeg,lcontrast,25.0,0.0,rightImage,2154876249643849472,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.5612874031066895,5.206702709197998
45,6,/img/pexels-photo-460025.jpeg,temperature,5000.0,6500.0,rightImage,2224260438364390912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.791037082672119,4.953503608703613
46,34,/img/pexels-photo-2036764.jpeg,contrast,0.0,1.0,leftImage,5669529291513570304,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.358680725097656,5.067405700683594
50,5,/img/pexels-photo-776176.jpeg,temperature,8000.0,25000.0,leftImage,-1587936720170126336,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.185593128204346,5.046664237976074
52,4,/img/pexels-photo-3457243.jpeg,highlights,-50.0,-100.0,leftImage,6063377548795356160,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.457468032836914,4.8830108642578125
54,10,/img/pexels-photo-1119828.jpeg,saturation,-1.0,0.0,rightImage,5007062439883167744,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,62,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.475378036499023,5.29464054107666
55,8,/img/pexels-photo-2756870.jpeg,tint,1.0,1.2,leftImage,-2838420022419582464,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",6.180706024169922,5.647350311279297
56,10,/img/pexels-photo-746752.jpeg,lcontrast,0.0,9.0,leftImage,-6360558572633355264,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,64,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.391455173492432,5.544605731964111
58,13,/img/pexels-photo-1612354.jpeg,shadows,60.0,50.0,leftImage,6322642243358758912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,66,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.896971225738525,4.963857650756836
59,6,/img/pexels-photo-1300152.jpeg,contrast,0.0,0.2,leftImage,1378050091100164096,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,67,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.065403938293457,5.071894645690918
61,4,/img/pexels-photo-3544555.jpeg,exposure,0.0,0.6,leftImage,5542328031542751232,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,69,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",6.0738043785095215,5.8846845626831055
62,2,/img/pexels-photo-2174729.jpeg,tint,1.2,1.0,rightImage,4000080179959485440,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,70,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.051546096801758,5.154226779937744
63,6,/img/pexels-photo-1019411.jpeg,brightness,0.0,-0.2,leftImage,8512096528593486848,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,71,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.832165241241455,5.648611545562744
67,8,/img/pexels-photo-2309571.jpeg,saturation,-1.0,-0.8,leftImage,-7799188072947539968,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.579732894897461,5.540364742279053
68,4,/img/pexels-photo-1084630.jpeg,saturation,0.0,-0.8,leftImage,3580293455089877504,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,76,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.479887008666992,5.538235187530518
69,3,/img/pexels-photo-1146098.jpeg,exposure,0.0,-2.4,leftImage,4164202910316838912,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",6.157958030700684,5.7089972496032715
70,4,/img/pexels-photo-1707819.jpeg,lcontrast,20.0,0.4,rightImage,4200321856707879424,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.595993995666504,5.518276691436768
72,7,/img/pexels-photo-3215531.jpeg,shadows,-80.0,50.0,rightImage,2768272610404962304,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",4.704912185668945,4.868271350860596
75,5,/img/pexels-photo-2310797.jpeg,contrast,0.0,0.4,leftImage,-818686181232342784,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,4.976072311401367,4.951410293579102
76,5,/img/pexels-photo-2518748.jpeg,tint,1.25,1.05,rightImage,8679880337179046912,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,2,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.353440761566162,5.449791431427002
77,5,/img/pexels-photo-1852614.jpeg,brightness,0.0,0.2,leftImage,-7634310151873254400,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,3,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.596245288848877,5.357161045074463
78,13,/img/pexels-photo-3582496.jpeg,highlights,-50.0,-60.0,rightImage,1943207240633509376,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,83,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.045739650726318,4.777207374572754
79,5,/img/pexels-photo-1254452.jpeg,highlights,-100.0,-50.0,rightImage,-3584536349799988736,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,4,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.20949125289917,5.1325225830078125
80,2,/img/pexels-photo-1139613.jpeg,lcontrast,15.0,0.0,rightImage,-2791001568164522496,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,5,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.786135196685791,5.554570198059082
81,7,/img/pexels-photo-1854160.jpeg,shadows,50.0,-20.0,rightImage,4692552606948612096,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,84,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.814377784729004,5.752475261688232
82,3,/img/barn-lightning-bolt-storm-99577.jpeg,brightness,0.4,1.0,leftImage,287970642889017344,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,6,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.7788567543029785,5.51455545425415
83,3,/img/pexels-photo-3608063.jpeg,lcontrast,0.0,40.0,rightImage,8675208354443631616,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,7,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.423005104064941,5.9688591957092285
84,2,/img/pexels-photo-2599751.jpeg,shadows,50.0,0.0,leftImage,7078313350328550400,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,8,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.56734037399292,5.274295806884766
86,8,/img/pexels-photo-334037.jpeg,highlights,-80.0,-50.0,leftImage,-2567426800063033344,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,9,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,4.947411060333252,5.020867347717285
87,2,/img/pexels-photo-906013.jpeg,temperature,6500.0,25000.0,leftImage,8160100373531931648,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,10,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.174045562744141,5.253363132476807
89,2,/img/pexels-photo-2035016.jpeg,brightness,0.6,0.0,rightImage,-6638508215129035776,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,11,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,4.8761305809021,5.257137298583984
90,2,/img/pexels-photo-2505416.jpeg,tint,1.25,1.0,rightImage,8005390751963296768,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.806293487548828,5.421543598175049
91,2,/img/pexels-photo-1171174.jpeg,contrast,0.0,-0.8,leftImage,4282156234768482816,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,12,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.450442790985107,4.616455554962158
92,3,/img/pexels-photo-573123.jpeg,exposure,0.0,0.6,leftImage,5053814055181139968,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,13,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.223061561584473,5.04585075378418
96,3,/img/pexels-photo-680013.jpeg,tint,1.05,1.2,leftImage,-724129617114606336,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,15,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.237567901611328,5.253612041473389
98,3,/img/pexels-photo-175771.jpeg,saturation,-1.0,0.0,rightImage,2835440650556449280,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,16,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.772146224975586,5.780520439147949
99,3,/img/pexels-photo-2563743.jpeg,highlights,-100.0,-50.0,leftImage,136388462570467952,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,17,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,6.076140403747559,5.618471145629883
101,2,/img/pexels-photo-2611939.jpeg,lcontrast,0.0,3.0,rightImage,-3601984181480592384,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,18,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.494629383087158,5.793328285217285
102,4,/img/pexels-photo-2220402.jpeg,saturation,-0.6,0.0,rightImage,-7231354800093356032,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,92,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.628053665161133,5.714137077331543
103,5,/img/pexels-photo-3519404.jpeg,brightness,-0.2,-0.2,leftImage,-9081680417802878976,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,19,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.386364936828613,5.386364936828613
104,4,/img/pexels-photo-2092293.jpeg,contrast,0.8,0.4,rightImage,-49791935627423400,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.716472148895264,5.5721049308776855
105,6,/img/pexels-photo-2924651.jpeg,saturation,0.0,0.8,rightImage,-7735499062318721024,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,20,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.326395034790039,5.013556957244873
106,5,/img/pexels-photo-2990832.jpeg,saturation,-0.2,-0.8,leftImage,1666605352701262592,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,94,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.737565994262695,5.65270471572876
107,1,/img/pexels-photo-2042563.jpeg,brightness,1.0,0.2,rightImage,3018687778823758848,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,21,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,4.987111568450928,5.483002185821533
108,2,/img/pexels-photo-2126982.jpeg,vibrance,80.0,40.0,rightImage,-8486306989954795520,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,22,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,4.857438087463379,4.85288667678833
109,3,/img/pexels-photo-2028738.jpeg,temperature,6500.0,22000.0,leftImage,-4426844170550454272,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,95,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.008772850036621,4.926472187042236
110,1,/img/building-house-high-rise-hdr.jpg,tint,1.25,1.0,rightImage,5123567730774566912,2048,1152,2031,1029,24,32eaf8c4f682b1649780e881c28f56bb,23,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:68.0) Gecko/20100101 Firefox/68.0,5.918339729309082,5.944925308227539
111,2,/img/pexels-photo-1693187.jpeg,tint,1.0,1.05,leftImage,6870407808970773504,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,96,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.4482102394104,5.404936790466309
112,3,/img/pexels-photo-2555645.jpeg,tint,1.0,0.75,leftImage,-7729124388596953088,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,97,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.393369674682617,5.576264381408691
113,6,/img/pexels-photo-2192439.jpeg,highlights,-80.0,-50.0,leftImage,59904649283833024,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,98,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.604974269866943,5.6965413093566895
114,7,/img/pexels-photo-706201.jpeg,brightness,0.0,1.0,leftImage,7201186257134260224,3008,1692,3008,1629,24,480a2f7a87380f194962c23ff22c3a04,99,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15",5.5548224449157715,4.886543273925781
